{'source_ip': '172.27.32.1', 'dest_ip': '172.27.47.255', 'source_port': 57621, 'dest_port': 57621, 'timestamp': '2023-06-05 13:37:18.015548', 'total_length': 86, 'data': '53:70:6f:74:55:64:70:30:6d:16:e0:82:8d:8b:57:21:00:01:00:04:48:95:c2:03:40:ac:90:d8:05:7e:00:32:d0:b3:74:1f:7b:9a:28:58:80:bc:da:9a'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:28.617941', 'total_length': 98, 'data': '00:61:00:06:e8:ba:7d:64:00:00:00:00:e8:6c:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:28.622791', 'total_length': 98, 'data': '00:61:00:06:e8:ba:7d:64:00:00:00:00:e8:6c:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.32.1', 'dest_ip': '239.255.255.250', 'source_port': 54363, 'dest_port': 1900, 'timestamp': '2023-06-05 13:37:29.055762', 'total_length': 217, 'data': '4d:2d:53:45:41:52:43:48:20:2a:20:48:54:54:50:2f:31:2e:31:0d:0a:48:4f:53:54:3a:20:32:33:39:2e:32:35:35:2e:32:35:35:2e:32:35:30:3a:31:39:30:30:0d:0a:4d:41:4e:3a:20:22:73:73:64:70:3a:64:69:73:63:6f:76:65:72:22:0d:0a:4d:58:3a:20:31:0d:0a:53:54:3a:20:75:72:6e:3a:64:69:61:6c:2d:6d:75:6c:74:69:73:63:72:65:65:6e:2d:6f:72:67:3a:73:65:72:76:69:63:65:3a:64:69:61:6c:3a:31:0d:0a:55:53:45:52:2d:41:47:45:4e:54:3a:20:47:6f:6f:67:6c:65:20:43:68:72:6f:6d:65:2f:31:31:33:2e:30:2e:35:36:37:32:2e:31:32:39:20:57:69:6e:64:6f:77:73:0d:0a:0d:0a'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:29.619302', 'total_length': 98, 'data': '00:61:00:07:e9:ba:7d:64:00:00:00:00:69:72:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:29.624945', 'total_length': 98, 'data': '00:61:00:07:e9:ba:7d:64:00:00:00:00:69:72:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.32.1', 'dest_ip': '239.255.255.250', 'source_port': 54363, 'dest_port': 1900, 'timestamp': '2023-06-05 13:37:30.065523', 'total_length': 217, 'data': '4d:2d:53:45:41:52:43:48:20:2a:20:48:54:54:50:2f:31:2e:31:0d:0a:48:4f:53:54:3a:20:32:33:39:2e:32:35:35:2e:32:35:35:2e:32:35:30:3a:31:39:30:30:0d:0a:4d:41:4e:3a:20:22:73:73:64:70:3a:64:69:73:63:6f:76:65:72:22:0d:0a:4d:58:3a:20:31:0d:0a:53:54:3a:20:75:72:6e:3a:64:69:61:6c:2d:6d:75:6c:74:69:73:63:72:65:65:6e:2d:6f:72:67:3a:73:65:72:76:69:63:65:3a:64:69:61:6c:3a:31:0d:0a:55:53:45:52:2d:41:47:45:4e:54:3a:20:47:6f:6f:67:6c:65:20:43:68:72:6f:6d:65:2f:31:31:33:2e:30:2e:35:36:37:32:2e:31:32:39:20:57:69:6e:64:6f:77:73:0d:0a:0d:0a'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:30.621202', 'total_length': 98, 'data': '00:61:00:08:ea:ba:7d:64:00:00:00:00:d3:79:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:30.625634', 'total_length': 98, 'data': '00:61:00:08:ea:ba:7d:64:00:00:00:00:d3:79:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:31.623824', 'total_length': 98, 'data': '00:61:00:09:eb:ba:7d:64:00:00:00:00:06:81:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:31.629715', 'total_length': 98, 'data': '00:61:00:09:eb:ba:7d:64:00:00:00:00:06:81:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:32.625307', 'total_length': 98, 'data': '00:61:00:0a:ec:ba:7d:64:00:00:00:00:df:88:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:32.632026', 'total_length': 98, 'data': '00:61:00:0a:ec:ba:7d:64:00:00:00:00:df:88:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:33.626282', 'total_length': 98, 'data': '00:61:00:0b:ed:ba:7d:64:00:00:00:00:7b:8d:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:33.634605', 'total_length': 98, 'data': '00:61:00:0b:ed:ba:7d:64:00:00:00:00:7b:8d:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.32.1', 'dest_ip': '239.255.255.250', 'source_port': 59385, 'dest_port': 1900, 'timestamp': '2023-06-05 13:37:34.510940', 'total_length': 212, 'data': '4d:2d:53:45:41:52:43:48:20:2a:20:48:54:54:50:2f:31:2e:31:0d:0a:48:4f:53:54:3a:20:32:33:39:2e:32:35:35:2e:32:35:35:2e:32:35:30:3a:31:39:30:30:0d:0a:4d:41:4e:3a:20:22:73:73:64:70:3a:64:69:73:63:6f:76:65:72:22:0d:0a:4d:58:3a:20:31:0d:0a:53:54:3a:20:75:72:6e:3a:64:69:61:6c:2d:6d:75:6c:74:69:73:63:72:65:65:6e:2d:6f:72:67:3a:73:65:72:76:69:63:65:3a:64:69:61:6c:3a:31:0d:0a:55:53:45:52:2d:41:47:45:4e:54:3a:20:43:68:72:6f:6d:69:75:6d:2f:31:31:32:2e:30:2e:35:36:31:35:2e:31:36:35:20:57:69:6e:64:6f:77:73:0d:0a:0d:0a'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:34.628601', 'total_length': 98, 'data': '00:61:00:0c:ee:ba:7d:64:00:00:00:00:5d:95:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:34.637453', 'total_length': 98, 'data': '00:61:00:0c:ee:ba:7d:64:00:00:00:00:5d:95:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.32.1', 'dest_ip': '239.255.255.250', 'source_port': 59385, 'dest_port': 1900, 'timestamp': '2023-06-05 13:37:35.514330', 'total_length': 212, 'data': '4d:2d:53:45:41:52:43:48:20:2a:20:48:54:54:50:2f:31:2e:31:0d:0a:48:4f:53:54:3a:20:32:33:39:2e:32:35:35:2e:32:35:35:2e:32:35:30:3a:31:39:30:30:0d:0a:4d:41:4e:3a:20:22:73:73:64:70:3a:64:69:73:63:6f:76:65:72:22:0d:0a:4d:58:3a:20:31:0d:0a:53:54:3a:20:75:72:6e:3a:64:69:61:6c:2d:6d:75:6c:74:69:73:63:72:65:65:6e:2d:6f:72:67:3a:73:65:72:76:69:63:65:3a:64:69:61:6c:3a:31:0d:0a:55:53:45:52:2d:41:47:45:4e:54:3a:20:43:68:72:6f:6d:69:75:6d:2f:31:31:32:2e:30:2e:35:36:31:35:2e:31:36:35:20:57:69:6e:64:6f:77:73:0d:0a:0d:0a'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:35.630039', 'total_length': 98, 'data': '00:61:00:0d:ef:ba:7d:64:00:00:00:00:66:9b:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:35.636136', 'total_length': 98, 'data': '00:61:00:0d:ef:ba:7d:64:00:00:00:00:66:9b:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.32.1', 'dest_ip': '239.255.255.250', 'source_port': 59385, 'dest_port': 1900, 'timestamp': '2023-06-05 13:37:36.518950', 'total_length': 212, 'data': '4d:2d:53:45:41:52:43:48:20:2a:20:48:54:54:50:2f:31:2e:31:0d:0a:48:4f:53:54:3a:20:32:33:39:2e:32:35:35:2e:32:35:35:2e:32:35:30:3a:31:39:30:30:0d:0a:4d:41:4e:3a:20:22:73:73:64:70:3a:64:69:73:63:6f:76:65:72:22:0d:0a:4d:58:3a:20:31:0d:0a:53:54:3a:20:75:72:6e:3a:64:69:61:6c:2d:6d:75:6c:74:69:73:63:72:65:65:6e:2d:6f:72:67:3a:73:65:72:76:69:63:65:3a:64:69:61:6c:3a:31:0d:0a:55:53:45:52:2d:41:47:45:4e:54:3a:20:43:68:72:6f:6d:69:75:6d:2f:31:31:32:2e:30:2e:35:36:31:35:2e:31:36:35:20:57:69:6e:64:6f:77:73:0d:0a:0d:0a'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:36.632017', 'total_length': 98, 'data': '00:61:00:0e:f0:ba:7d:64:00:00:00:00:10:a3:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:36.638627', 'total_length': 98, 'data': '00:61:00:0e:f0:ba:7d:64:00:00:00:00:10:a3:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.32.1', 'dest_ip': '239.255.255.250', 'source_port': 59385, 'dest_port': 1900, 'timestamp': '2023-06-05 13:37:37.526715', 'total_length': 212, 'data': '4d:2d:53:45:41:52:43:48:20:2a:20:48:54:54:50:2f:31:2e:31:0d:0a:48:4f:53:54:3a:20:32:33:39:2e:32:35:35:2e:32:35:35:2e:32:35:30:3a:31:39:30:30:0d:0a:4d:41:4e:3a:20:22:73:73:64:70:3a:64:69:73:63:6f:76:65:72:22:0d:0a:4d:58:3a:20:31:0d:0a:53:54:3a:20:75:72:6e:3a:64:69:61:6c:2d:6d:75:6c:74:69:73:63:72:65:65:6e:2d:6f:72:67:3a:73:65:72:76:69:63:65:3a:64:69:61:6c:3a:31:0d:0a:55:53:45:52:2d:41:47:45:4e:54:3a:20:43:68:72:6f:6d:69:75:6d:2f:31:31:32:2e:30:2e:35:36:31:35:2e:31:36:35:20:57:69:6e:64:6f:77:73:0d:0a:0d:0a'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:37.634116', 'total_length': 98, 'data': '00:61:00:0f:f1:ba:7d:64:00:00:00:00:6e:ab:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:37.638758', 'total_length': 98, 'data': '00:61:00:0f:f1:ba:7d:64:00:00:00:00:6e:ab:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:38.636492', 'total_length': 98, 'data': '00:61:00:10:f2:ba:7d:64:00:00:00:00:7c:b4:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:38.641416', 'total_length': 98, 'data': '00:61:00:10:f2:ba:7d:64:00:00:00:00:7c:b4:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:39.637756', 'total_length': 98, 'data': '00:61:00:11:f3:ba:7d:64:00:00:00:00:47:ba:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:39.648755', 'total_length': 98, 'data': '00:61:00:11:f3:ba:7d:64:00:00:00:00:47:ba:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:40.638961', 'total_length': 98, 'data': '00:61:00:12:f4:ba:7d:64:00:00:00:00:57:bf:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:40.644686', 'total_length': 98, 'data': '00:61:00:12:f4:ba:7d:64:00:00:00:00:57:bf:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.42.122', 'dest_ip': '8.8.8.8', 'type': 8, 'code': 0, 'timestamp': '2023-06-05 13:37:41.641447', 'total_length': 98, 'data': '00:61:00:13:f5:ba:7d:64:00:00:00:00:fc:c7:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '8.8.8.8', 'dest_ip': '172.27.42.122', 'type': 0, 'code': 0, 'timestamp': '2023-06-05 13:37:41.647505', 'total_length': 98, 'data': '00:61:00:13:f5:ba:7d:64:00:00:00:00:fc:c7:09:00:00:00:00:00:10:11:12:13:14:15:16:17:18:19:1a:1b:1c:1d:1e:1f:20:21:22:23:24:25:26:27:28:29:2a:2b:2c:2d:2e:2f:30:31:32:33:34:35:36:37'}
{'source_ip': '172.27.32.1', 'dest_ip': '172.27.47.255', 'source_port': 57621, 'dest_port': 57621, 'timestamp': '2023-06-05 13:38:04.136744', 'total_length': 86, 'data': '53:70:6f:74:55:64:70:30:6d:16:e0:82:8d:8b:57:21:00:01:00:04:48:95:c2:03:40:ac:90:d8:05:7e:00:32:d0:b3:74:1f:7b:9a:28:58:80:bc:da:9a'}
{'source_ip': '172.27.32.1', 'dest_ip': '224.0.0.251', 'source_port': 5353, 'dest_port': 5353, 'timestamp': '2023-06-05 13:38:33.868699', 'total_length': 87, 'data': '00:00:00:00:00:01:00:00:00:00:00:00:10:5f:73:70:6f:74:69:66:79:2d:63:6f:6e:6e:65:63:74:04:5f:74:63:70:05:6c:6f:63:61:6c:00:00:0c:00:01'}
{'source_ip': '172.27.32.1', 'dest_ip': '239.255.255.250', 'source_port': 53270, 'dest_port': 1900, 'timestamp': '2023-06-05 13:38:36.869222', 'total_length': 167, 'data': '4d:2d:53:45:41:52:43:48:20:2a:20:48:54:54:50:2f:31:2e:31:0d:0a:48:4f:53:54:3a:20:32:33:39:2e:32:35:35:2e:32:35:35:2e:32:35:30:3a:31:39:30:30:0d:0a:4d:41:4e:3a:20:22:73:73:64:70:3a:64:69:73:63:6f:76:65:72:22:0d:0a:4d:58:3a:20:31:0d:0a:53:54:3a:20:75:72:6e:3a:64:69:61:6c:2d:6d:75:6c:74:69:73:63:72:65:65:6e:2d:6f:72:67:3a:73:65:72:76:69:63:65:3a:64:69:61:6c:3a:31:0d:0a:0d:0a'}
{'source_ip': '172.27.32.1', 'dest_ip': '172.27.47.255', 'source_port': 57621, 'dest_port': 57621, 'timestamp': '2023-06-05 13:38:47.395131', 'total_length': 86, 'data': '53:70:6f:74:55:64:70:30:6d:16:e0:82:8d:8b:57:21:00:01:00:04:48:95:c2:03:40:ac:90:d8:05:7e:00:32:d0:b3:74:1f:7b:9a:28:58:80:bc:da:9a'}
